repo_path,project,analysis_type,version_family,version,original_path,duplicate_copies,summary
cryptic_mRNA/01_preprocessing/00_build_cnt.py,cryptic_mRNA,01_preprocessing,,,cryptic_mRNA/model/STMN2_CE_MD_Unity/scripts/00_build_cnt.py,,"00_build_cnt.py  —  Build the (n,m) SWCNT, periodic along z, and emit:"
cryptic_mRNA/01_preprocessing/01_build_oligos.sh,cryptic_mRNA,01_preprocessing,,,cryptic_mRNA/model/STMN2_CE_MD_Unity/scripts/01_build_oligos.sh,,01_build_oligos.sh — build the STMN2-CE sensor nucleic acids with AmberTools
cryptic_mRNA/01_preprocessing/02_assemble_system.py,cryptic_mRNA,01_preprocessing,,,cryptic_mRNA/model/STMN2_CE_MD_Unity/scripts/02_assemble_system.py,,"02_assemble_system.py — place the sensor next to the frozen (9,4) tube and emit"
cryptic_mRNA/01_preprocessing/03_solvate_ions.sh,cryptic_mRNA,01_preprocessing,,,cryptic_mRNA/model/STMN2_CE_MD_Unity/scripts/03_solvate_ions.sh,,"03_solvate_ions.sh <hyb|unhyb> — CHARMM36 topology for the nucleic acids,"
cryptic_mRNA/01_preprocessing/04_make_index.sh,cryptic_mRNA,01_preprocessing,,,cryptic_mRNA/model/STMN2_CE_MD_Unity/scripts/04_make_index.sh,,04_make_index.sh <hyb|unhyb> — build index groups used by the .mdp files and
cryptic_mRNA/01_preprocessing/amber2charmm_names.py,cryptic_mRNA,01_preprocessing,,,cryptic_mRNA/model/STMN2_CE_MD_Unity/scripts/amber2charmm_names.py,,amber2charmm_names.py  —  translate an Amber-named nucleic-acid PDB into names
cryptic_mRNA/01_preprocessing/archive_results.py,cryptic_mRNA,01_preprocessing,,,cryptic_mRNA/model/STMN2_SWCNT_pipeline/scripts/archive_results.py,cryptic_mRNA/model/STMN2_SWCNT_pipeline/STMN2_SWCNT_production_analysis_20260625/code/archive_results.py | cryptic_mRNA/model/STMN2_SWCNT_pipeline/STMN2_SWCNT_production_analysis_20260626/code/archive_results.py,"Timestamped archive (§21): code, config, provenance, result tables, figures,"
cryptic_mRNA/01_preprocessing/buildProject.sh,cryptic_mRNA,01_preprocessing,,,cryptic_mRNA/model/STMN2_SWCNT_pipeline/tools/MELTING5.2.0/buildProject.sh,,
cryptic_mRNA/01_preprocessing/build_structures.py,cryptic_mRNA,01_preprocessing,,,cryptic_mRNA/model/STMN2_SWCNT_pipeline/scripts/build_structures.py,cryptic_mRNA/model/STMN2_SWCNT_pipeline/STMN2_SWCNT_production_analysis_20260625/code/build_structures.py | cryptic_mRNA/model/STMN2_SWCNT_pipeline/STMN2_SWCNT_production_analysis_20260626/code/build_structures.py,"Conceptual full-sensor starting structures (§12, Gate 5 = conceptual)."
cryptic_mRNA/01_preprocessing/build_swcnts.py,cryptic_mRNA,01_preprocessing,,,cryptic_mRNA/model/STMN2_SWCNT_pipeline/scripts/build_swcnts.py,cryptic_mRNA/model/STMN2_SWCNT_pipeline/STMN2_SWCNT_production_analysis_20260625/code/build_swcnts.py | cryptic_mRNA/model/STMN2_SWCNT_pipeline/STMN2_SWCNT_production_analysis_20260626/code/build_swcnts.py,Build + validate the 5 core SWCNT chiralities (§9).
cryptic_mRNA/01_preprocessing/fetch_reference.py,cryptic_mRNA,01_preprocessing,,,cryptic_mRNA/model/STMN2_SWCNT_pipeline/scripts/fetch_reference.py,cryptic_mRNA/model/STMN2_SWCNT_pipeline/STMN2_SWCNT_production_analysis_20260625/code/fetch_reference.py | cryptic_mRNA/model/STMN2_SWCNT_pipeline/STMN2_SWCNT_production_analysis_20260626/code/fetch_reference.py,Fetch the authoritative STMN2 transcript live (§5.1).
cryptic_mRNA/01_preprocessing/figstyle.py,cryptic_mRNA,01_preprocessing,,,cryptic_mRNA/model/STMN2_SWCNT_pipeline/scripts/figstyle.py,cryptic_mRNA/model/STMN2_SWCNT_pipeline/STMN2_SWCNT_production_analysis_20260625/code/figstyle.py | cryptic_mRNA/model/STMN2_SWCNT_pipeline/STMN2_SWCNT_production_analysis_20260626/code/figstyle.py,"Shared figure style (§13): 300 dpi, editable SVG text, no rainbow colormap."
